date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-09 05:20:54,ankushchandel81,pragati2036,1,0,1,"News 18 or Rajjev Masaand yhi fake news falitey or news channel walon k saath mil k Tbhi toh aajkal Salmun khan ko acha dikha rhey kuch news channel waley...PR waley image sudhaar rhey inki",,,,1281095964736892928,https://twitter.com/ankushchandel81/status/1281095964736892928
2020-07-09 05:20:17,patryn94,CECheeseESQ,0,0,2,"* Laughs in silent majority",,,,1281095811900690432,https://twitter.com/patryn94/status/1281095811900690432
2020-07-09 05:19:47,SomnathJana007,,0,1,2,"this type of dedication is rare, but some peoples made his life horrible... #SCOrderCBIForSSR @PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorld",,@PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorld,#SCOrderCBIForSSR,1281095686147108866,https://twitter.com/SomnathJana007/status/1281095686147108866
2020-07-09 05:19:41,apusdaughter,,0,0,0,"true love is someone watching you play minion rush and actually caring. i have never experienced true love",,,,1281095660935221251,https://twitter.com/apusdaughter/status/1281095660935221251
2020-07-09 05:19:11,konishi_apu_slb,,0,0,0,"コロッケもポテサラも、 肉屋なりスーパーなりの腕の見せ所なんだろうな。 よくぞあんな値段で出してくれるなあと。 コロッケが揚げたてだったりするとかなり嬉しい。",,,,1281095535105961985,https://twitter.com/konishi_apu_slb/status/1281095535105961985
2020-07-09 05:18:34,MehediH04591418,fariha100k,0,0,2,"Sm apu",,,,1281095379518255104,https://twitter.com/MehediH04591418/status/1281095379518255104
2020-07-09 05:18:33,patryn94,DumetellaSuperb,0,0,3,"Tommybis a good fren and you shouldn't harass him",,,,1281095375533690882,https://twitter.com/patryn94/status/1281095375533690882
2020-07-09 05:18:18,apu_suke_,,0,0,0,"ソフトバンクロボット軍団の儀式、試合で一番盛り上がってしまう : 鷹速@ホークスまとめブログhttp://blog.livedoor.jp/hawksmatome/archives/54806083.html …",,@ホークスまとめブログhttp,,1281095312484872192,https://twitter.com/apu_suke_/status/1281095312484872192
2020-07-09 05:17:49,miguelbxr,drope_apu,1,0,1,"kkkkkkkkkkkkkkkkkkk pedro gasta minha onda",,,,1281095191756189696,https://twitter.com/miguelbxr/status/1281095191756189696
2020-07-09 05:17:12,yakub_vikers,,0,0,0,"Mendesain capek juga yah wkwkwkw",,,,1281095035254001665,https://twitter.com/yakub_vikers/status/1281095035254001665
